ticker,pattern_name,signal,pattern_date,key_values,strength,current_price
INFY,RSI Divergence (Bullish),bullish,2026-03-19,"{""price_low_1"": 1248.3, ""price_low_2"": 1220.8, ""rsi_low_1"": 25.2, ""rsi_low_2"": 34.27}",0.448,1269.7
INFY,Support Bounce,bullish,2026-03-20,"{""support_20d"": 1215.1, ""close"": 1255.9, ""distance_to_support_pct"": 1.16}",0.571,1269.7
TCS,Support Bounce,bullish,2026-03-27,"{""support_20d"": 2348.0, ""close"": 2389.8, ""distance_to_support_pct"": 1.58}",0.298,2389.8
HDFCBANK,RSI Divergence (Bullish),bullish,2026-03-19,"{""price_low_1"": 840.7, ""price_low_2"": 798.2, ""rsi_low_1"": 16.44, ""rsi_low_2"": 23.96}",0.63,756.2
HDFCBANK,Support Bounce,bullish,2026-03-24,"{""support_20d"": 741.05, ""close"": 764.9, ""distance_to_support_pct"": 0.9}",0.607,756.2
ICICIBANK,RSI Divergence (Bullish),bullish,2026-03-19,"{""price_low_1"": 1278.4, ""price_low_2"": 1250.1, ""rsi_low_1"": 16.02, ""rsi_low_2"": 23.38}",0.398,1233.8
ICICIBANK,Support Bounce,bullish,2026-03-24,"{""support_20d"": 1218.1, ""close"": 1251.2, ""distance_to_support_pct"": 0.46}",0.634,1233.8
LT,RSI Divergence (Bullish),bullish,2026-03-23,"{""price_low_1"": 3439.0, ""price_low_2"": 3342.4, ""rsi_low_1"": 18.09, ""rsi_low_2"": 24.9}",0.429,3564.1
LT,Support Bounce,bullish,2026-03-20,"{""support_20d"": 3396.6, ""close"": 3434.8, ""distance_to_support_pct"": 0.39}",0.456,3564.1
WIPRO,RSI Divergence (Bullish),bullish,2026-03-23,"{""price_low_1"": 191.32, ""price_low_2"": 187.54, ""rsi_low_1"": 33.58, ""rsi_low_2"": 34.87}",0.197,191.6
WIPRO,Support Bounce,bullish,2026-03-24,"{""support_20d"": 187.0, ""close"": 188.74, ""distance_to_support_pct"": 0.43}",0.426,191.6
MARUTI,RSI Divergence (Bullish),bullish,2026-03-23,"{""price_low_1"": 12591.0, ""price_low_2"": 12355.0, ""rsi_low_1"": 22.77, ""rsi_low_2"": 25.7}",0.238,12389.0
MARUTI,Support Bounce,bullish,2026-03-24,"{""support_20d"": 12278.0, ""close"": 12464.0, ""distance_to_support_pct"": 0.44}",0.494,12389.0
BAJAJFINSV,RSI Divergence (Bullish),bullish,2026-03-20,"{""price_low_1"": 1795.3, ""price_low_2"": 1710.3, ""rsi_low_1"": 18.82, ""rsi_low_2"": 21.01}",0.444,1694.7
BAJAJFINSV,Support Bounce,bullish,2026-03-24,"{""support_20d"": 1662.7, ""close"": 1704.4, ""distance_to_support_pct"": 0.52}",0.596,1694.7
BHARTIARTL,Support Bounce,bullish,2026-03-24,"{""support_20d"": 1770.9, ""close"": 1802.1, ""distance_to_support_pct"": 0.57}",0.497,1843.9
ASIANPAINT,RSI Divergence (Bullish),bullish,2026-03-23,"{""price_low_1"": 2196.8, ""price_low_2"": 2121.3, ""rsi_low_1"": 18.36, ""rsi_low_2"": 29.79}",0.618,2207.4
ASIANPAINT,Support Bounce,bullish,2026-03-24,"{""support_20d"": 2115.0, ""close"": 2217.3, ""distance_to_support_pct"": 1.81}",0.618,2207.4
JSWSTEEL,RSI Divergence (Bullish),bullish,2026-03-23,"{""price_low_1"": 1119.3, ""price_low_2"": 1109.6, ""rsi_low_1"": 32.07, ""rsi_low_2"": 33.25}",0.105,1130.3
JSWSTEEL,Support Bounce,bullish,2026-03-24,"{""support_20d"": 1102.5, ""close"": 1133.7, ""distance_to_support_pct"": 0.86}",0.567,1130.3
BPCL,Support Bounce,bullish,2026-03-24,"{""support_20d"": 270.0, ""close"": 282.25, ""distance_to_support_pct"": 0.26}",0.893,282.7
INDIGO,RSI Divergence (Bullish),bullish,2026-03-19,"{""price_low_1"": 4236.7, ""price_low_2"": 4154.3, ""rsi_low_1"": 23.16, ""rsi_low_2"": 27.23}",0.278,4099.5
AXISBANK,RSI Divergence (Bullish),bullish,2026-03-23,"{""price_low_1"": 1197.3, ""price_low_2"": 1170.6, ""rsi_low_1"": 20.84, ""rsi_low_2"": 22.47}",0.227,1205.2
AXISBANK,Support Bounce,bullish,2026-03-24,"{""support_20d"": 1165.0, ""close"": 1192.7, ""distance_to_support_pct"": 0.39}",0.606,1205.2
SBIN,RSI Divergence (Bullish),bullish,2026-03-27,"{""price_low_1"": 1047.0, ""price_low_2"": 1019.5, ""rsi_low_1"": 14.58, ""rsi_low_2"": 27.81}",0.607,1019.5
