ticker,latest_date,latest_close,latest_open,latest_high,latest_low,latest_volume,avg_close,min_close,max_close,total_volume,trading_days,price_change,price_change_pct,latest_filing_type,latest_filing_date,filing_count
ADANIENT.NS,2026-03-27,1823.0,1880.0,2478.89990234375,1813.699951171875,2585257,2162.2033311631944,1817.9000244140625,2446.10009765625,136101032,90,-339.20333116319443,-15.69,Updates,2026-03-25,1380
ADANIPORTS.NS,2026-03-27,1337.800048828125,1375.0,1584.0,1292.0,2667313,1468.3644449869792,1303.5999755859375,1570.199951171875,200730878,90,-130.56439615885415,-8.89,Updates,2026-03-27,1355
APOLLO.NS,2026-03-27,189.4900054931641,197.07000732421875,285.8999938964844,185.77999877929688,10347073,240.6209999932183,188.72000122070312,283.29998779296875,319399362,90,-51.130994500054214,-21.25,,,0
APOLLOHOSP.NS,2026-03-27,7549.0,7510.0,7870.5,6687.621668232306,533512,7291.178580729166,6784.49267578125,7821.5,36177752,90,257.82141927083376,3.54,Trading Window,2026-03-24,1079
ASIANPAINT.NS,2026-03-27,2207.39990234375,2246.300048828125,2985.699951171875,2115.0,1089010,2597.3144422743057,2121.300048828125,2968.5,114707807,90,-389.91453993055575,-15.01,Change in Auditors,2026-03-26,1598
AUROPHARMA.NS,2026-03-27,1314.199951171875,1307.800048828125,1330.0,1106.0,1923752,1206.017973139045,1121.699951171875,1314.199951171875,120109839,89,108.1819780328301,8.97,General Updates,2026-03-25,1810
AXISBANK.NS,2026-03-27,1205.199951171875,1209.5,1418.300048828125,1165.0,9479301,1289.461112467448,1170.5999755859375,1403.0,554099624,90,-84.26116129557295,-6.53,Trading Window,2026-03-25,2859
BAJAJ-AUTO.NS,2026-03-27,8901.0,8971.5,10187.0,8735.0,326675,9355.772222222222,8776.0,10110.0,29262602,90,-454.7722222222219,-4.86,Trading Window,2026-03-27,1064
BAJAJFINSV.NS,2026-03-27,1694.699951171875,1738.5999755859375,2118.0,1662.699951171875,2522237,1981.2144476996527,1675.5,2103.199951171875,103743044,90,-286.51449652777774,-14.46,Trading Window,2026-03-26,799
BEL.NS,2026-03-27,404.75,411.8999938964844,473.4500122070313,378.8372412675168,21818224,419.75860527886283,381.8245239257813,468.4500122070313,1482781516,90,-15.00860527886283,-3.58,Trading Window,2026-03-27,949
BHARTIARTL.NS,2026-03-27,1843.9000244140625,1839.9000244140625,2174.5,1770.9000244140625,24490425,2010.1566731770833,1788.800048828125,2162.699951171875,666175391,90,-166.25664876302085,-8.27,Action(s) taken or orders passed,2026-03-28,2375
BPCL.NS,2026-03-27,282.70001220703125,290.0,391.6499938964844,270.0,29524543,351.1471811930339,271.29998779296875,388.2999877929688,753821578,90,-68.44716898600262,-19.49,Copy of Newspaper Publication,2026-03-28,1234
BRITANNIA.NS,2026-03-27,5500.0,5600.0,6271.0,5404.5,378825,5923.194444444444,5490.0,6185.0,28133717,90,-423.19444444444434,-7.14,Change in Management,2026-03-27,824
CIPLA.NS,2026-03-27,1242.300048828125,1226.5,1539.699951171875,1216.5999755859375,2220695,1405.7255601671006,1219.4000244140625,1531.300048828125,140004449,90,-163.42551133897564,-11.63,Copy of Newspaper Publication,2026-03-28,1644
COALINDIA.NS,2026-03-27,445.0499877929688,446.0,476.0,364.7778130762515,17184280,413.056108601888,365.221923828125,470.1000061035156,793656063,90,31.993879191080794,7.75,Bagging/Receiving of orders/contracts,2026-03-28,1302
DRREDDY.NS,2026-03-27,1281.699951171875,1297.0,1337.300048828125,1148.4000244140625,2165113,1259.12444797092,1157.199951171875,1325.5,145812641,90,22.575503200954927,1.79,Updates,2026-03-26,1849
EICHERMOT.NS,2026-03-27,6811.5,6915.0,8230.0,6643.5,533428,7309.45,6681.5,8190.0,46507950,90,-497.9499999999998,-6.81,Press Release,2026-03-27,1836
GODREJCP.NS,2026-03-27,1008.7000122070312,1035.0,1268.3867311570773,988.0,2455222,1161.1284790039062,1002.4000244140624,1248.5728759765625,109248439,90,-152.428466796875,-13.13,Trading Window,2026-03-27,1379
GRASIM.NS,2026-03-27,2628.199951171875,2651.0,2979.0,2502.5,2406056,2781.57444390191,2531.10009765625,2953.89990234375,65997377,90,-153.37449273003494,-5.51,Updates,2026-03-28,1780
HCLTECH.NS,2026-03-27,1364.4000244140625,1377.0,1780.0999755859375,1297.699951171875,8956139,1557.06487765842,1311.800048828125,1729.5999755859375,264819600,90,-192.66485324435757,-12.37,Updates,2026-03-26,2440
